All,70-100,Divorced/Separated,500,200,500,600,600,800,600,800,700,1400,1000,1200,1600,1200,1700,1300,2000,1900,1900,2300,2200,3300,3400,3300,4700,4300,4700,4900,5600,6600,7700,7100,8500,10500,8900,10400,10500
Males,70-100,Total,27100,31200,32900,35200,36100,35200,35700,37800,44500,43100,44000,49300,48000,51400,54300,52600,59800,62800,60500,63900,69200,75100,73400,75800,86000,85400,89300,98300,97200,106200,110900,114500,126300,120100,123800,146300,143400
Males,70-100,Single,1300,900,1000,1100,1300,1100,800,1000,2100,1200,1200,1700,2000,2000,1700,1700,2200,2200,2000,1700,2500,3000,3300,2800,3000,3100,3500,3300,4500,4300,4400,4800,5300,5000,5300,5900,6400
Males,70-100,Married,19100,23400,25800,26800,27600,26800,27200,28000,30800,32000,32000,36500,35400,38700,40200,39500,44700,46200,46500,48200,52000,56100,56000,59200,67100,65500,70000,77100,75800,83300,86700,91800,101500,93800,98600,116500,115900
Males,70-100,Widowed,6400,6700,5900,7100,6800,7000,7500,8500,11300,9300,10200,10500,10100,10200,11500,10800,11900,13600,11200,13000,13700,14900,12900,12400,14300,15200,14100,16200,14800,16400,16900,15500,16500,18000,16700,20300,17900
Males,70-100,Divorced/Separated,300,100,300,300,300,300,300,300,300,600,600,600,500,500,800,600,1000,900,700,1100,1000,1100,1200,1500,1500,1600,1700,1700,2100,2300,2900,2400,2900,3400,3200,3600,3200
Females,70-100,Total,36500,41100,44900,43900,48200,47800,45900,51400,59800,59100,59300,59200,63000,69800,71600,74100,80600,80800,83200,91200,93800,100800,104300,105000,116400,120300,117300,129200,133300,143100,145800,152500,165400,161200,170100,189200,191400
Females,70-100,Single,2000,1800,1900,1800,2000,1200,1500,1800,2600,1800,1900,1700,1800,1700,1100,1700,2000,2400,1900,3300,2900,2800,3200,2700,3900,3600,3600,4600,4800,5500,6800,6700,8300,7800,7700,9900,11700
Females,70-100,Married,7900,10300,13800,13000,12500,12600,12100,13100,15800,14500,15200,15500,15200,18400,18000,22300,24900,19700,26100,22500,24800,28000,29300,36500,36900,38200,38800,46500,44600,50400,54900,59100,65700,55900,66500,76200,80800
Females,70-100,Widowed,26400,28900,29000,28800,33500,33600,31900,36000,41100,42100,41900,41400,44900,49000,51500,49400,52600,57700,54100,64100,64800,67900,69600,64000,72400,75700,71900,74900,80400,82800,79300,82000,85800,90300,90200,96300,91700
Females,70-100,Divorced/Separated,200,0,200,300,300,500,300,500,400,700,500,600,1000,600,900,700,1000,1000,1100,1300,1200,2200,2200,1800,3200,2800,2900,3200,3500,4300,4800,4700,5600,7100,5700,6800,7200
